Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Family	Prey_Genus	Unidentified	Prey_Stage	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Empididae		NO		NA	0.025	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Rhagionidae		NO		NA	0.048	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Syrphidae		NO		NA	0.025	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Tipulidae		NO		NA	0.025	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera			YES		NA	0.068	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Homoptera	Cicadellidae		NO		NA	0.03	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae		NO		NA	0.03	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		NO	Larval	NA	0.264	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae		NO		NA	0.026	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammonds Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Scarabeidae		NO		NA	0.071	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Hammonds Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera			YES		NA	0.269	NA	NA	35	14	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		NO	Larval	NA	0.136	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera			YES		NA	0.084	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Empididae		NO		NA	0.009	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Rhagionidae		NO		NA	0.04	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
