"level"	"name"	"condition"
"Genus"	"Micropterus"	"unmatched"
"Genus"	"Anas platyrhynchos"	"wrong rank; too high"
"Genus"	"Plagiodes"	"unmatched"
"Genus"	"Pleuronectidae"	"wrong rank; too low"
"Genus"	"Trichoton"	"unmatched"
"Genus"	"Passer"	"wrong rank; too high"
"Genus"	"Eleodes"	"wrong rank; too high"
"Genus"	"Avena"	"unmatched"
"Genus"	"Mycetophila, Platytura"	"unmatched"
"Genus"	"Rhamphomyia, Hilara"	"unmatched"
"Genus"	"Pegomya, Hylemyia"	"unmatched"
"Genus"	"Limnophila"	"wrong rank; too low"
"Genus"	"Cicadula"	"unmatched"
"Genus"	"Oncopsis"	"unmatched"
"Genus"	"Phlepsius"	"unmatched"
"Genus"	"Paniscus"	"unmatched"
"Genus"	"Meteorus"	"unmatched"
"Genus"	"Elateridae limonius"	"unmatched"
"Genus"	"Morus"	"wrong rank; too low"
"Genus"	"Siren"	"wrong rank; too low"
"Genus"	"Graminea"	"unmatched"
"Genus"	"Gallium"	"unmatched"
"Genus"	"Zea L."	"unmatched"
"Genus"	"Euphorbia L."	"unmatched"
"Genus"	"Quercus L."	"unmatched"
"Genus"	"Citellus"	"unmatched"
"Genus"	"Triodia"	"unmatched"
"Genus"	"Choris"	"unmatched"
"Genus"	"Unidentified"	"unmatched"
"Genus"	"Unidentified Species 2"	"unmatched"
"Genus"	"Unidentified Species 1"	"unmatched"
"Genus"	"Claytonia?"	"unmatched"
"Genus"	"Aster/Erigeron"	"unmatched"
"Genus"	"grass"	"unmatched"
"Genus"	"Iris"	"unmatched"
"Genus"	"Bembidium"	"unmatched"
"Genus"	"Macrops"	"unmatched"
"Genus"	"Tomicus"	"unmatched"
"Genus"	"Pimpla"	"unmatched"
"Genus"	"Ophion"	"unmatched"
"Genus"	"Bassus?"	"unmatched"
"Genus"	"Rhodites"	"unmatched"
"Genus"	"Homalodisca"	"unmatched"
"Genus"	"Emesa?"	"unmatched"
"Genus"	"Epitrix?"	"unmatched"
"Genus"	"Ichneumon"	"unmatched"
"Genus"	"Urosigalphus"	"unmatched"
"Genus"	"Apanteles"	"unmatched"
"Genus"	"Ophiderma"	"unmatched"
"Genus"	"Corizus"	"wrong rank; too low"
"Genus"	"Homaeotarsus"	"unmatched"
"Genus"	"Rhyncholus"	"wrong rank; too low"
"Genus"	"Telamona?"	"unmatched"
"Genus"	"Platycotis"	"unmatched"
"Genus"	"Criocephalus"	"wrong rank; too low"
"Genus"	"Scambus"	"unmatched"
"Genus"	"Chalcis?"	"unmatched"
"Genus"	"Pogonomyrmex?"	"unmatched"
"Genus"	"Stictocephalus"	"unmatched"
"Genus"	"Pamera"	"unmatched"
"Genus"	"Trogophlaeus"	"unmatched"
"Genus"	"Reduviolus"	"wrong rank; too high"
"Genus"	"Altica?"	"unmatched"
"Genus"	"Cantharis?"	"unmatched"
"Genus"	"Margarodes"	"unmatched"
"Genus"	"Homaemus parvulus"	"wrong rank; too high"
"Genus"	"Thyreocoris"	"unmatched"
"Genus"	"Stictocephala"	"wrong rank; too high"
"Genus"	"Monocrepidius"	"unmatched"
"Genus"	"Melanophthalma"	"unmatched"
"Genus"	"Lepidosina"	"unmatched"
"Genus"	"Mesochorus"	"wrong rank; too high"
"Genus"	"Campoplex"	"unmatched"
"Genus"	"Lissonota"	"wrong rank; too low"
"Genus"	"Agrothereutes"	"unmatched"
"Genus"	"Phaeogenes"	"unmatched"
"Genus"	"Erythroneura"	"unmatched"
"Genus"	"Typhlocybini"	"unmatched"
"Genus"	"Formicidae"	"wrong rank; too low"
"Genus"	"Choristoneura"	"unmatched"
"Genus"	"Bolboceras"	"unmatched"
"Genus"	"Coniontis"	"unmatched"
"Genus"	"Amphicyrta"	"unmatched"
