"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"	"Doi"	"Sex"	"Age_Class"	"Within_Study_Data_Source"	"Table_Fig_Number"	"Title"	"Lastname_author"	"Source_year"	"Journal"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	1	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Heteroptera"	""	""	""	"yes"	NA	NA	""	NA	""	0.808	"Items"	73	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"F"	"SY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	1	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	""	"Tingidae"	""	""	"yes"	NA	NA	""	NA	""	0.014	"Items"	73	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"F"	"SY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	1	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	""	""	""	""	"yes"	NA	NA	""	NA	""	0.054	"Items"	73	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"F"	"SY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	1	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""	""	"yes"	NA	NA	"larva"	NA	""	0.014	"Items"	73	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"F"	"SY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	1	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	""	""	""	""	"no"	NA	NA	""	NA	""	0.014	"Items"	73	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"F"	"SY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	1	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	""	"Formicidae"	""	""	"yes"	NA	NA	""	NA	""	0.096	"Items"	73	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"F"	"SY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	2	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Heteroptera"	""	""	""	"yes"	NA	NA	""	NA	""	0.657	"Items"	67	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"M"	"ASY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	2	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	""	"Tingidae"	""	""	"yes"	NA	NA	""	NA	""	0.059	"Items"	67	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"M"	"ASY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	2	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	""	""	""	""	"yes"	NA	NA	""	NA	""	0.03	"Items"	67	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"M"	"ASY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
"Yellow Warbler"	"Setophaga petechia petechia"	NA	"Parulidae"	"eBird Clements Checklist v2021"	18.03	-77.93	NA	NA	NA	"Jamaica"	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	"mangrove"	2	2014	2	2014	"winter"	2	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	""	""	""	""	"yes"	NA	NA	"larva"	NA	""	0.03	"Items"	67	1	1	"stomach contents"	NA	"AM"	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	"10.1111/ibi.13006"	"M"	"ASY"	NA	NA	"High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities"	"Kent"	2022	"International Journal of Avian Sciences"	NA	NA	NA	NA	NA	NA	NA
